IDs
P75694
P64506
P31130
P76002
P64519
P76172
P0AAB8
P0A8B5
P22524
P21363
P33219
Q2M7R5
P0AEY5
P0ADX7
P0A955
P0AET2
P52119
P05825
P0AAN5
P0AAQ6
P0AGD1
P39364
P0AC69
P25665
P0A9Z1
P69829
P0AD59
P33362
P0AA25
P75915
P77269
P37595
P0AC62
P75780
P0ACG8
P0AB24
P75736
P69783
P33232
P04395
P67662
P02925
P0A790
P0AC92
P15047
P0A6Z6
P75779
P77667
P75874
P77252
P16869
P0A8Z3
P0A8W2
P0AB52
P0ABZ4
P0AFZ1
P0AAT9
P0AEH5
P21362
P0AEL6
P0A761
P31827
P0ADI4
P0AGL2
P0A7K2
P37349
P0A9L5
P0A9V5
P30860
P09372
P39187
P37631
P77247
P52060
P0A6I9
P0AGK4
P61316
P37908
P0A8H8
P67244
P0AFW4
P25906
P00963
P0A8J4
P0AF12
P76342
P45470
P11454
P62617
P0C8J6
P39172
P30863
P0AEW9
P0A6W5
P0A7A5
P0AEQ3
P0A6E1
P0AFL3
P0AE52
P02924
P69828
P0AAI9
P0A763
P76116
P0AB61
P75952
P0ABQ2
P0A800
P04693
P68739
P37647
P0A6P1
P77562
P0AG44
P17315
P0A7G2
P31828
P0ADE6
P39265
P37613
P0ADE4
P39325
P75797
P0ABF6
P76141
P28861
P06988
P67080
P08204
P16095
P30749
P76222
P35340
P0AGG8
P68206
P0AA43
P33644
P0A744
P30859
P62707
P0A6P9
P0AF28
P0A9D2
P45552
P42620
P76216
P23917
P0A9K7
P00561
P23538
P77434
P00509
P0A8V2
P08839
P0AC86
P0AD61
P77774
P22564
P17117
P0A6P7
P0A850
P77718
P37685
P0AC51
P0A7L0
P46130
P31554
P60240
P00960
P77735
P0A6Z3
P0ACP7
P0A8M0
P0AGJ7
P46837
P0A7F3
P0C0K3
P07118
P0A8J8
P0ADC1
P0AB58
P0AAI5
P25519
P0ACB7
P23886
P31979
P64612
P75864
P60752
P27550
P37645
P0A7A7
P0A9A6
P0C0V0
P69451
P76594
P00490
P43329
P10408
P64588
P76268
P07813
P0A9Q5
P06612
P65870
P0A7D7
P22523
P0A9W3
P37590
P76097
P0CB39
P33136
P07604
P0AGJ9
P0AF08
P07012
P0AF20
P0AGC3
P22188
Q46939
P52647
P0AES6
P0AG30
P21889
P27250
P04951
P0ADY7
P62601
P04335
P25740
P15640
P02929
P07109
P0AE06
P0AGB6
Q47622
P39356
P0ABJ1
P03004
P0AC53
P39099
P37765
P0A9F6
P0AC41
P36683
P0AFA2
P0ADZ4
P17846
P0A7D4
P0A722
P09546
P45395
P0AG84
P13035
P52645
P00968
P23871
P0A9G2
P39286
P0AG76
P76578
P75828
P08178
P77243
P0ABC7
P0A7E1
P0AG20
P0AC33
P0A6P5
P64624
P06149
P0ABF1
P13458
P0A8M3
P45577
P27829
P31677
P21499
P15723
P0ACY3
P77173
P07000
P0A996
P0ABT2
P37617
P0AEM9
P0A698
P0AC30
P31808
P0DTT0
P18956
P33363
P0A993
P06961
P0AAG3
P27247
P00803
P07014
P43671
P0A905
P0A6X3
P75777
P15639
P75863
P0A9G6
P33221
P25516
P03018
P0A738
Q47710
P11557
P0A6Q3
P0AFG3
P75876
P29131
P30847
P63235
P0AFJ7
P0AD65
P22256
P39199
P0ABP8
P0ACE0
P19934
P0A951
P31660
P64604
P29018
P0A6D0
P0ABU9
P32131
P39830
P25552
Q46851
P0A9T8
P33224
P61887
P0AA39
P33599
P19323
P77488
P0A9Q7
P23930
P07117
P0AGE0
P15877
P27302
P0AE60
P27127
P0AEE3
P33570
P0AFS7
P76115
P77541
P24224
P37195
P39451
P31224
P0ADG7
P05523
P32176
P32166
P0AFD6
P0A8G3
P76330
P0AEX3
P04994
P0AFC7
P69786
P0A8I5
P0AF43
P76237
P69380
P0AD42
P02916
P0A9B2
P64463
P37348
P0A6W3
P0A776
P75823
P0ADB1
P15254
P0ABQ0
P76318
P0AFR0
P25524
P45800
P21169
P0AGD3
P37751
P68191
P0AB98
P64429
P33195
P0AF98
P62517
P0AG18
P60869
P33607
P38684
P15028
P0A9C5
P07762
P0ACS9
P04982
P76176
P0A821
P0A853
P09169
P67910
P08194
P52643
P0ADT2
P43672
P0AFC3
P13029
P63340
P0C0S1
P05719
P0A8R9
P15034
P33360
P13036
P76170
P76014
P12758
P0AE30
P17445
P0ACK2
P68767
P0ABJ9
P23830
P0AET5
P0AEJ6
P0A8Q0
P69908
P39366
P60651
P22186
P64606
P76539
P0AF18
P0AFS3
P0A742
P31680
P39285
P0ABI8
P00805
P0A6Q6
P21367
P37095
P31064
P0A794
P0A991
P0A912
P21179
P0ABD3
P69054
P77713
P0A6M2
